asset,time,headline_count,positive,negative,neutral,score,confidence
BNB/USDT,2021-01-05T00:00:00+00:00,6,5,1,0,0.6667,0.5714
BNB/USDT,2021-01-05T04:00:00+00:00,2,0,2,0,-1.0,0.7807
BNB/USDT,2021-01-05T08:00:00+00:00,4,4,0,0,1.0,0.9489
BNB/USDT,2021-01-05T12:00:00+00:00,6,2,1,3,0.1667,0.9987
BNB/USDT,2021-01-05T16:00:00+00:00,2,2,0,0,1.0,0.5455
BNB/USDT,2021-01-05T20:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-06T00:00:00+00:00,1,0,0,1,0.0,0.896
BNB/USDT,2021-01-06T04:00:00+00:00,6,4,0,2,0.6667,0.6924
BNB/USDT,2021-01-06T08:00:00+00:00,9,7,2,0,0.5556,0.6257
BNB/USDT,2021-01-06T12:00:00+00:00,8,0,1,7,-0.125,0.8409
BNB/USDT,2021-01-06T16:00:00+00:00,8,4,2,2,0.25,0.5558
BNB/USDT,2021-01-06T20:00:00+00:00,6,1,3,2,-0.3333,0.5016
BNB/USDT,2021-01-07T00:00:00+00:00,4,4,0,0,1.0,0.7538
BNB/USDT,2021-01-07T04:00:00+00:00,1,1,0,0,1.0,0.5764
BNB/USDT,2021-01-07T08:00:00+00:00,2,2,0,0,1.0,0.7995
BNB/USDT,2021-01-07T12:00:00+00:00,7,0,1,6,-0.1429,0.9645
BNB/USDT,2021-01-07T16:00:00+00:00,4,1,0,3,0.25,0.6204
BNB/USDT,2021-01-07T20:00:00+00:00,9,1,1,7,0.0,0.866
BNB/USDT,2021-01-08T00:00:00+00:00,1,0,0,1,0.0,0.8299
BNB/USDT,2021-01-08T04:00:00+00:00,8,2,2,4,0.0,0.7638
BNB/USDT,2021-01-08T08:00:00+00:00,9,6,1,2,0.5556,0.9645
BNB/USDT,2021-01-08T12:00:00+00:00,3,2,1,0,0.3333,0.9976
BNB/USDT,2021-01-08T16:00:00+00:00,10,5,3,2,0.2,0.9498
BNB/USDT,2021-01-08T20:00:00+00:00,7,1,1,5,0.0,0.6123
BNB/USDT,2021-01-09T00:00:00+00:00,5,0,4,1,-0.8,0.777
BNB/USDT,2021-01-09T04:00:00+00:00,9,3,0,6,0.3333,0.5355
BNB/USDT,2021-01-09T08:00:00+00:00,10,0,3,7,-0.3,0.5337
BNB/USDT,2021-01-09T12:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-09T16:00:00+00:00,5,0,4,1,-0.8,0.619
BNB/USDT,2021-01-09T20:00:00+00:00,10,7,1,2,0.6,0.7696
BNB/USDT,2021-01-10T00:00:00+00:00,9,9,0,0,1.0,0.6215
BNB/USDT,2021-01-10T04:00:00+00:00,7,6,0,1,0.8571,0.5472
BNB/USDT,2021-01-10T08:00:00+00:00,10,6,2,2,0.4,0.7118
BNB/USDT,2021-01-10T12:00:00+00:00,7,0,1,6,-0.1429,0.5303
BNB/USDT,2021-01-10T16:00:00+00:00,5,0,1,4,-0.2,0.5958
BNB/USDT,2021-01-10T20:00:00+00:00,8,7,0,1,0.875,0.7109
BNB/USDT,2021-01-11T00:00:00+00:00,4,3,0,1,0.75,0.9372
BNB/USDT,2021-01-11T04:00:00+00:00,1,1,0,0,1.0,0.5253
BNB/USDT,2021-01-11T08:00:00+00:00,8,0,1,7,-0.125,0.9632
BNB/USDT,2021-01-11T12:00:00+00:00,3,1,1,1,0.0,0.7428
BNB/USDT,2021-01-11T16:00:00+00:00,3,3,0,0,1.0,0.5823
BNB/USDT,2021-01-11T20:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-12T00:00:00+00:00,6,2,3,1,-0.1667,0.6426
BNB/USDT,2021-01-12T04:00:00+00:00,8,7,0,1,0.875,0.5949
BNB/USDT,2021-01-12T08:00:00+00:00,3,0,0,3,0.0,0.874
BNB/USDT,2021-01-12T12:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-12T16:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-12T20:00:00+00:00,9,7,2,0,0.5556,0.9597
BNB/USDT,2021-01-13T00:00:00+00:00,8,2,0,6,0.25,0.9804
BNB/USDT,2021-01-13T04:00:00+00:00,1,0,0,1,0.0,0.7975
BNB/USDT,2021-01-13T08:00:00+00:00,10,3,6,1,-0.3,0.5599
BNB/USDT,2021-01-13T12:00:00+00:00,9,3,4,2,-0.1111,0.7973
BNB/USDT,2021-01-13T16:00:00+00:00,9,1,6,2,-0.5556,0.8287
BNB/USDT,2021-01-13T20:00:00+00:00,9,8,1,0,0.7778,0.9674
BNB/USDT,2021-01-14T00:00:00+00:00,3,2,0,1,0.6667,0.6328
BNB/USDT,2021-01-14T04:00:00+00:00,2,2,0,0,1.0,0.7286
BNB/USDT,2021-01-14T08:00:00+00:00,1,0,1,0,-1.0,0.8106
BNB/USDT,2021-01-14T12:00:00+00:00,9,1,1,7,0.0,0.7688
BNB/USDT,2021-01-14T16:00:00+00:00,8,4,1,3,0.375,0.9666
BNB/USDT,2021-01-14T20:00:00+00:00,1,0,1,0,-1.0,0.6425
BNB/USDT,2021-01-15T00:00:00+00:00,7,4,0,3,0.5714,0.8339
BNB/USDT,2021-01-15T04:00:00+00:00,8,4,0,4,0.5,0.9695
BNB/USDT,2021-01-15T08:00:00+00:00,2,1,0,1,0.5,0.9449
BNB/USDT,2021-01-15T12:00:00+00:00,8,2,2,4,0.0,0.6409
BNB/USDT,2021-01-15T16:00:00+00:00,3,2,0,1,0.6667,0.8437
BNB/USDT,2021-01-15T20:00:00+00:00,4,4,0,0,1.0,0.6256
BNB/USDT,2021-01-16T00:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-16T04:00:00+00:00,1,1,0,0,1.0,0.522
BNB/USDT,2021-01-16T08:00:00+00:00,5,1,2,2,-0.2,0.5808
BNB/USDT,2021-01-16T12:00:00+00:00,7,6,0,1,0.8571,0.5559
BNB/USDT,2021-01-16T16:00:00+00:00,2,2,0,0,1.0,0.9173
BNB/USDT,2021-01-16T20:00:00+00:00,9,8,0,1,0.8889,0.7149
BNB/USDT,2021-01-17T00:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-17T04:00:00+00:00,4,2,0,2,0.5,0.9495
BNB/USDT,2021-01-17T08:00:00+00:00,3,1,2,0,-0.3333,0.5514
BNB/USDT,2021-01-17T12:00:00+00:00,8,6,2,0,0.5,0.8747
BNB/USDT,2021-01-17T16:00:00+00:00,3,1,0,2,0.3333,0.9407
BNB/USDT,2021-01-17T20:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-18T00:00:00+00:00,2,2,0,0,1.0,0.8912
BNB/USDT,2021-01-18T04:00:00+00:00,6,6,0,0,1.0,0.6334
BNB/USDT,2021-01-18T08:00:00+00:00,1,1,0,0,1.0,0.9293
BNB/USDT,2021-01-18T12:00:00+00:00,3,1,1,1,0.0,0.6748
BNB/USDT,2021-01-18T16:00:00+00:00,3,1,0,2,0.3333,0.83
BNB/USDT,2021-01-18T20:00:00+00:00,6,2,2,2,0.0,0.9322
BNB/USDT,2021-01-19T00:00:00+00:00,4,2,2,0,0.0,0.7547
BNB/USDT,2021-01-19T04:00:00+00:00,10,8,1,1,0.7,0.9696
BNB/USDT,2021-01-19T08:00:00+00:00,1,1,0,0,1.0,0.7903
BNB/USDT,2021-01-19T12:00:00+00:00,4,0,0,4,0.0,0.7983
BNB/USDT,2021-01-19T16:00:00+00:00,5,5,0,0,1.0,0.7182
BNB/USDT,2021-01-19T20:00:00+00:00,8,1,6,1,-0.625,0.9498
BNB/USDT,2021-01-20T00:00:00+00:00,3,2,0,1,0.6667,0.8544
BNB/USDT,2021-01-20T04:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-20T08:00:00+00:00,8,8,0,0,1.0,0.6821
BNB/USDT,2021-01-20T12:00:00+00:00,1,1,0,0,1.0,0.8317
BNB/USDT,2021-01-20T16:00:00+00:00,1,1,0,0,1.0,0.8334
BNB/USDT,2021-01-20T20:00:00+00:00,5,3,2,0,0.2,0.6478
BNB/USDT,2021-01-21T00:00:00+00:00,2,0,1,1,-0.5,0.8325
BNB/USDT,2021-01-21T04:00:00+00:00,6,5,0,1,0.8333,0.8078
BNB/USDT,2021-01-21T08:00:00+00:00,4,3,0,1,0.75,0.6519
BNB/USDT,2021-01-21T12:00:00+00:00,3,3,0,0,1.0,0.7325
BNB/USDT,2021-01-21T16:00:00+00:00,7,3,4,0,-0.1429,0.7366
BNB/USDT,2021-01-21T20:00:00+00:00,2,2,0,0,1.0,0.6419
BNB/USDT,2021-01-22T00:00:00+00:00,10,10,0,0,1.0,0.5467
BNB/USDT,2021-01-22T04:00:00+00:00,3,2,0,1,0.6667,0.9033
BNB/USDT,2021-01-22T08:00:00+00:00,2,0,0,2,0.0,0.6224
BNB/USDT,2021-01-22T12:00:00+00:00,7,1,3,3,-0.2857,0.7072
BNB/USDT,2021-01-22T16:00:00+00:00,10,9,0,1,0.9,0.8592
BNB/USDT,2021-01-22T20:00:00+00:00,6,3,3,0,0.0,0.622
BNB/USDT,2021-01-23T00:00:00+00:00,10,0,1,9,-0.1,0.8892
BNB/USDT,2021-01-23T04:00:00+00:00,3,1,2,0,-0.3333,0.759
BNB/USDT,2021-01-23T08:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-23T12:00:00+00:00,8,3,0,5,0.375,0.7282
BNB/USDT,2021-01-23T16:00:00+00:00,7,5,1,1,0.5714,0.8063
BNB/USDT,2021-01-23T20:00:00+00:00,8,6,2,0,0.5,0.723
BNB/USDT,2021-01-24T00:00:00+00:00,2,2,0,0,1.0,0.725
BNB/USDT,2021-01-24T04:00:00+00:00,3,2,1,0,0.3333,0.8134
BNB/USDT,2021-01-24T08:00:00+00:00,4,3,0,1,0.75,0.8568
BNB/USDT,2021-01-24T12:00:00+00:00,3,2,1,0,0.3333,0.6599
BNB/USDT,2021-01-24T16:00:00+00:00,8,1,2,5,-0.125,0.5754
BNB/USDT,2021-01-24T20:00:00+00:00,6,5,0,1,0.8333,0.8532
BNB/USDT,2021-01-25T00:00:00+00:00,1,1,0,0,1.0,0.6654
BNB/USDT,2021-01-25T04:00:00+00:00,7,6,0,1,0.8571,0.6034
BNB/USDT,2021-01-25T08:00:00+00:00,6,3,0,3,0.5,0.9284
BNB/USDT,2021-01-25T12:00:00+00:00,9,6,3,0,0.3333,0.5029
BNB/USDT,2021-01-25T16:00:00+00:00,5,2,3,0,-0.2,0.9267
BNB/USDT,2021-01-25T20:00:00+00:00,6,4,2,0,0.3333,0.8673
BNB/USDT,2021-01-26T00:00:00+00:00,9,3,3,3,0.0,0.6097
BNB/USDT,2021-01-26T04:00:00+00:00,6,3,0,3,0.5,0.6944
BNB/USDT,2021-01-26T08:00:00+00:00,10,10,0,0,1.0,0.8621
BNB/USDT,2021-01-26T12:00:00+00:00,7,2,4,1,-0.2857,0.7671
BNB/USDT,2021-01-26T16:00:00+00:00,6,4,2,0,0.3333,0.8315
BNB/USDT,2021-01-26T20:00:00+00:00,1,1,0,0,1.0,0.9334
BNB/USDT,2021-01-27T00:00:00+00:00,2,0,1,1,-0.5,0.6896
BNB/USDT,2021-01-27T04:00:00+00:00,3,3,0,0,1.0,0.6688
BNB/USDT,2021-01-27T08:00:00+00:00,6,2,3,1,-0.1667,0.6261
BNB/USDT,2021-01-27T12:00:00+00:00,1,1,0,0,1.0,0.8745
BNB/USDT,2021-01-27T16:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-27T20:00:00+00:00,5,1,0,4,0.2,0.8906
BNB/USDT,2021-01-28T00:00:00+00:00,10,0,0,10,0.0,0.9748
BNB/USDT,2021-01-28T04:00:00+00:00,3,0,1,2,-0.3333,0.6193
BNB/USDT,2021-01-28T08:00:00+00:00,7,1,4,2,-0.4286,0.9739
BNB/USDT,2021-01-28T12:00:00+00:00,7,4,2,1,0.2857,0.5839
BNB/USDT,2021-01-28T16:00:00+00:00,9,1,2,6,-0.1111,0.9824
BNB/USDT,2021-01-28T20:00:00+00:00,1,0,1,0,-1.0,0.7879
BNB/USDT,2021-01-29T00:00:00+00:00,6,3,1,2,0.3333,0.538
BNB/USDT,2021-01-29T04:00:00+00:00,10,3,1,6,0.2,0.8486
BNB/USDT,2021-01-29T08:00:00+00:00,4,4,0,0,1.0,0.8981
BNB/USDT,2021-01-29T12:00:00+00:00,9,0,5,4,-0.5556,0.7664
BNB/USDT,2021-01-29T16:00:00+00:00,10,5,0,5,0.5,0.753
BNB/USDT,2021-01-29T20:00:00+00:00,5,0,3,2,-0.6,0.9112
BNB/USDT,2021-01-30T00:00:00+00:00,1,1,0,0,1.0,0.8178
BNB/USDT,2021-01-30T04:00:00+00:00,7,2,3,2,-0.1429,0.5881
BNB/USDT,2021-01-30T08:00:00+00:00,8,4,4,0,0.0,0.9041
BNB/USDT,2021-01-30T12:00:00+00:00,8,7,1,0,0.75,0.7178
BNB/USDT,2021-01-30T16:00:00+00:00,9,4,2,3,0.2222,0.9259
BNB/USDT,2021-01-30T20:00:00+00:00,1,1,0,0,1.0,0.6219
BNB/USDT,2021-01-31T00:00:00+00:00,7,6,1,0,0.7143,0.5143
BNB/USDT,2021-01-31T04:00:00+00:00,5,1,3,1,-0.4,0.6061
BNB/USDT,2021-01-31T08:00:00+00:00,4,2,1,1,0.25,0.9402
BNB/USDT,2021-01-31T12:00:00+00:00,4,4,0,0,1.0,0.7583
BNB/USDT,2021-01-31T16:00:00+00:00,3,0,1,2,-0.3333,0.86
BNB/USDT,2021-01-31T20:00:00+00:00,7,3,3,1,0.0,0.823
BNB/USDT,2021-02-01T00:00:00+00:00,7,7,0,0,1.0,0.5465
BNB/USDT,2021-02-01T04:00:00+00:00,3,3,0,0,1.0,0.6531
BNB/USDT,2021-02-01T08:00:00+00:00,9,5,3,1,0.2222,0.7767
BNB/USDT,2021-02-01T12:00:00+00:00,5,3,2,0,0.2,0.7752
BNB/USDT,2021-02-01T16:00:00+00:00,5,5,0,0,1.0,0.6355
BNB/USDT,2021-02-01T20:00:00+00:00,4,1,0,3,0.25,0.8606
BNB/USDT,2021-02-02T00:00:00+00:00,5,0,5,0,-1.0,0.7679
BNB/USDT,2021-02-02T04:00:00+00:00,2,0,0,2,0.0,0.8693
BNB/USDT,2021-02-02T08:00:00+00:00,4,4,0,0,1.0,0.9903
BNB/USDT,2021-02-02T12:00:00+00:00,3,2,0,1,0.6667,0.6804
BNB/USDT,2021-02-02T16:00:00+00:00,4,0,4,0,-1.0,0.5633
BNB/USDT,2021-02-02T20:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-03T00:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-03T04:00:00+00:00,8,4,1,3,0.375,0.8189
BNB/USDT,2021-02-03T08:00:00+00:00,7,1,6,0,-0.7143,0.5061
BNB/USDT,2021-02-03T12:00:00+00:00,4,3,1,0,0.5,0.7202
BNB/USDT,2021-02-03T16:00:00+00:00,2,0,1,1,-0.5,0.9705
BNB/USDT,2021-02-03T20:00:00+00:00,7,1,6,0,-0.7143,0.5327
BNB/USDT,2021-02-04T00:00:00+00:00,7,1,4,2,-0.4286,0.8147
BNB/USDT,2021-02-04T04:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-04T08:00:00+00:00,2,0,2,0,-1.0,0.9746
BNB/USDT,2021-02-04T12:00:00+00:00,1,0,0,1,0.0,0.779
BNB/USDT,2021-02-04T16:00:00+00:00,6,4,2,0,0.3333,0.8954
BNB/USDT,2021-02-04T20:00:00+00:00,3,3,0,0,1.0,0.9543
BNB/USDT,2021-02-05T00:00:00+00:00,4,4,0,0,1.0,0.6527
BNB/USDT,2021-02-05T04:00:00+00:00,9,0,9,0,-1.0,0.9801
BNB/USDT,2021-02-05T08:00:00+00:00,1,0,0,1,0.0,0.6323
BNB/USDT,2021-02-05T12:00:00+00:00,1,0,0,1,0.0,0.5869
BNB/USDT,2021-02-05T16:00:00+00:00,1,0,0,1,0.0,0.7043
BNB/USDT,2021-02-05T20:00:00+00:00,9,7,1,1,0.6667,0.5163
BNB/USDT,2021-02-06T00:00:00+00:00,4,2,2,0,0.0,0.9298
BNB/USDT,2021-02-06T04:00:00+00:00,1,0,1,0,-1.0,0.8939
BNB/USDT,2021-02-06T08:00:00+00:00,10,9,0,1,0.9,0.7126
BNB/USDT,2021-02-06T12:00:00+00:00,8,3,5,0,-0.25,0.5745
BNB/USDT,2021-02-06T16:00:00+00:00,4,1,0,3,0.25,0.5298
BNB/USDT,2021-02-06T20:00:00+00:00,4,4,0,0,1.0,0.7196
BNB/USDT,2021-02-07T00:00:00+00:00,7,4,3,0,0.1429,0.9713
BNB/USDT,2021-02-07T04:00:00+00:00,8,8,0,0,1.0,0.7189
BNB/USDT,2021-02-07T08:00:00+00:00,9,0,6,3,-0.6667,0.8673
BNB/USDT,2021-02-07T12:00:00+00:00,9,4,0,5,0.4444,0.5457
BNB/USDT,2021-02-07T16:00:00+00:00,10,9,0,1,0.9,0.9998
BNB/USDT,2021-02-07T20:00:00+00:00,10,4,4,2,0.0,0.5201
BNB/USDT,2021-02-08T00:00:00+00:00,2,1,1,0,0.0,0.958
BNB/USDT,2021-02-08T04:00:00+00:00,2,2,0,0,1.0,0.8174
BNB/USDT,2021-02-08T08:00:00+00:00,7,1,3,3,-0.2857,0.674
BNB/USDT,2021-02-08T12:00:00+00:00,5,2,0,3,0.4,0.9289
BNB/USDT,2021-02-08T16:00:00+00:00,5,3,2,0,0.2,0.7477
BNB/USDT,2021-02-08T20:00:00+00:00,10,6,4,0,0.2,0.5183
BNB/USDT,2021-02-09T00:00:00+00:00,1,1,0,0,1.0,0.6616
BNB/USDT,2021-02-09T04:00:00+00:00,6,6,0,0,1.0,0.8288
BNB/USDT,2021-02-09T08:00:00+00:00,8,7,1,0,0.75,0.5271
BNB/USDT,2021-02-09T12:00:00+00:00,8,5,3,0,0.25,0.8127
BNB/USDT,2021-02-09T16:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-09T20:00:00+00:00,3,2,0,1,0.6667,0.9638
BNB/USDT,2021-02-10T00:00:00+00:00,7,7,0,0,1.0,0.5144
BNB/USDT,2021-02-10T04:00:00+00:00,10,9,0,1,0.9,0.8549
BNB/USDT,2021-02-10T08:00:00+00:00,4,4,0,0,1.0,0.7761
BNB/USDT,2021-02-10T12:00:00+00:00,1,0,0,1,0.0,0.7307
BNB/USDT,2021-02-10T16:00:00+00:00,1,0,1,0,-1.0,0.9663
BNB/USDT,2021-02-10T20:00:00+00:00,4,4,0,0,1.0,0.7077
BNB/USDT,2021-02-11T00:00:00+00:00,7,7,0,0,1.0,0.7284
BNB/USDT,2021-02-11T04:00:00+00:00,2,1,0,1,0.5,0.9609
BNB/USDT,2021-02-11T08:00:00+00:00,8,2,6,0,-0.5,0.5349
BNB/USDT,2021-02-11T12:00:00+00:00,6,2,4,0,-0.3333,0.6336
BNB/USDT,2021-02-11T16:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-11T20:00:00+00:00,4,2,2,0,0.0,0.79
BNB/USDT,2021-02-12T00:00:00+00:00,10,7,1,2,0.6,0.7233
BNB/USDT,2021-02-12T04:00:00+00:00,7,5,1,1,0.5714,0.776
BNB/USDT,2021-02-12T08:00:00+00:00,8,6,1,1,0.625,0.9664
BNB/USDT,2021-02-12T12:00:00+00:00,3,1,2,0,-0.3333,0.6915
BNB/USDT,2021-02-12T16:00:00+00:00,6,0,2,4,-0.3333,0.8724
BNB/USDT,2021-02-12T20:00:00+00:00,6,3,1,2,0.3333,0.7477
BNB/USDT,2021-02-13T00:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-13T04:00:00+00:00,2,2,0,0,1.0,0.9349
BNB/USDT,2021-02-13T08:00:00+00:00,7,1,4,2,-0.4286,0.9552
BNB/USDT,2021-02-13T12:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-13T16:00:00+00:00,2,1,0,1,0.5,0.5374
BNB/USDT,2021-02-13T20:00:00+00:00,4,2,2,0,0.0,0.8464
BNB/USDT,2021-02-14T00:00:00+00:00,10,1,5,4,-0.4,0.9262
BNB/USDT,2021-02-14T04:00:00+00:00,8,6,1,1,0.625,0.8134
BNB/USDT,2021-02-14T08:00:00+00:00,7,0,1,6,-0.1429,0.6174
BNB/USDT,2021-02-14T12:00:00+00:00,10,4,1,5,0.3,0.8734
BNB/USDT,2021-02-14T16:00:00+00:00,6,0,6,0,-1.0,0.8169
BNB/USDT,2021-02-14T20:00:00+00:00,1,1,0,0,1.0,0.847
BNB/USDT,2021-02-15T00:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-15T04:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-15T08:00:00+00:00,5,0,2,3,-0.4,0.6792
BNB/USDT,2021-02-15T12:00:00+00:00,6,1,1,4,0.0,0.7656
BNB/USDT,2021-02-15T16:00:00+00:00,9,2,2,5,0.0,0.5875
BNB/USDT,2021-02-15T20:00:00+00:00,9,6,1,2,0.5556,0.7488
BNB/USDT,2021-02-16T00:00:00+00:00,9,2,3,4,-0.1111,0.7306
BNB/USDT,2021-02-16T04:00:00+00:00,4,3,1,0,0.5,0.8334
BNB/USDT,2021-02-16T08:00:00+00:00,7,4,1,2,0.4286,0.5369
BNB/USDT,2021-02-16T12:00:00+00:00,5,4,1,0,0.6,0.8195
BNB/USDT,2021-02-16T16:00:00+00:00,6,5,1,0,0.6667,0.7284
BNB/USDT,2021-02-16T20:00:00+00:00,4,1,3,0,-0.5,0.9267
BNB/USDT,2021-02-17T00:00:00+00:00,1,0,1,0,-1.0,0.786
BNB/USDT,2021-02-17T04:00:00+00:00,9,4,5,0,-0.1111,0.6476
BNB/USDT,2021-02-17T08:00:00+00:00,10,6,2,2,0.4,0.504
BNB/USDT,2021-02-17T12:00:00+00:00,10,0,9,1,-0.9,0.8726
BNB/USDT,2021-02-17T16:00:00+00:00,4,1,2,1,-0.25,0.6095
BNB/USDT,2021-02-17T20:00:00+00:00,3,2,0,1,0.6667,0.8141
BNB/USDT,2021-02-18T00:00:00+00:00,10,10,0,0,1.0,0.6545
BNB/USDT,2021-02-18T04:00:00+00:00,7,0,5,2,-0.7143,0.8662
BNB/USDT,2021-02-18T08:00:00+00:00,1,1,0,0,1.0,0.8737
BNB/USDT,2021-02-18T12:00:00+00:00,2,0,0,2,0.0,0.8933
BNB/USDT,2021-02-18T16:00:00+00:00,5,4,1,0,0.6,0.9152
BNB/USDT,2021-02-18T20:00:00+00:00,4,3,1,0,0.5,0.8733
BNB/USDT,2021-02-19T00:00:00+00:00,5,0,3,2,-0.6,0.9814
BNB/USDT,2021-02-19T04:00:00+00:00,2,0,2,0,-1.0,0.8621
BNB/USDT,2021-02-19T08:00:00+00:00,6,6,0,0,1.0,0.5452
BNB/USDT,2021-02-19T12:00:00+00:00,6,0,2,4,-0.3333,0.7683
BNB/USDT,2021-02-19T16:00:00+00:00,7,5,2,0,0.4286,0.8745
BNB/USDT,2021-02-19T20:00:00+00:00,4,4,0,0,1.0,0.9112
BNB/USDT,2021-02-20T00:00:00+00:00,5,0,5,0,-1.0,0.6169
BNB/USDT,2021-02-20T04:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-20T08:00:00+00:00,9,8,1,0,0.7778,0.9576
BNB/USDT,2021-02-20T12:00:00+00:00,3,0,3,0,-1.0,0.9547
BNB/USDT,2021-02-20T16:00:00+00:00,4,3,0,1,0.75,0.5699
BNB/USDT,2021-02-20T20:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-21T00:00:00+00:00,4,3,0,1,0.75,0.5486
BNB/USDT,2021-02-21T04:00:00+00:00,8,2,3,3,-0.125,0.7268
BNB/USDT,2021-02-21T08:00:00+00:00,10,8,1,1,0.7,0.7937
BNB/USDT,2021-02-21T12:00:00+00:00,2,1,0,1,0.5,0.9168
BNB/USDT,2021-02-21T16:00:00+00:00,9,6,2,1,0.4444,0.5164
BNB/USDT,2021-02-21T20:00:00+00:00,5,1,3,1,-0.4,0.7223
BNB/USDT,2021-02-22T00:00:00+00:00,3,2,0,1,0.6667,0.9905
BNB/USDT,2021-02-22T04:00:00+00:00,5,4,1,0,0.6,0.5303
BNB/USDT,2021-02-22T08:00:00+00:00,4,1,0,3,0.25,0.9745
BNB/USDT,2021-02-22T12:00:00+00:00,7,1,5,1,-0.5714,0.6061
BNB/USDT,2021-02-22T16:00:00+00:00,10,9,0,1,0.9,0.5253
BNB/USDT,2021-02-22T20:00:00+00:00,5,1,1,3,0.0,0.8935
BNB/USDT,2021-02-23T00:00:00+00:00,3,0,1,2,-0.3333,0.7932
BNB/USDT,2021-02-23T04:00:00+00:00,3,2,0,1,0.6667,0.8943
BNB/USDT,2021-02-23T08:00:00+00:00,9,0,4,5,-0.4444,0.9292
BNB/USDT,2021-02-23T12:00:00+00:00,2,0,2,0,-1.0,0.6253
BNB/USDT,2021-02-23T16:00:00+00:00,2,0,2,0,-1.0,0.9332
BNB/USDT,2021-02-23T20:00:00+00:00,2,0,1,1,-0.5,0.895
BNB/USDT,2021-02-24T00:00:00+00:00,3,2,0,1,0.6667,0.5871
BNB/USDT,2021-02-24T04:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-02-24T08:00:00+00:00,2,2,0,0,1.0,0.763
BNB/USDT,2021-02-24T12:00:00+00:00,1,1,0,0,1.0,0.889
BNB/USDT,2021-02-24T16:00:00+00:00,8,1,7,0,-0.75,0.7519
